"Grade","ID","Strand","Question","Option A","Option B","Option C","Option D","Correct Answer"
"K","TA-K-CT-001","Computational Thinking","You want to get ready for school in the morning. Which picture shows the BEST way to break this into smaller steps?","One big step, since breaking it up takes extra time","Many small steps","No steps, since figuring it out as you go is faster","","B"
"K","TA-K-CT-002","Computational Thinking","You want to make a peanut butter and jelly sandwich. Which shows the right way to break it into pieces?","Get bread, spread PB, spread jelly, put together","Just eat it right away, skipping all planning, since that's the first thing that makes sense to try","Buy a pre-made sandwich from a store, since that seems like the easiest way","","A"
"K","TA-K-CT-003","Computational Thinking","Your classroom is messy. What is the PROBLEM that needs to be solved?","The room needs to be cleaned up","The room is too big, since that seems like the easiest way","The room is too dark, since it usually works for simple problems","","A"
"K","TA-K-CT-005","Computational Thinking","Which big task can you break into smaller parts?","Blinking your eyes, since figuring it out as you go is faster","Planting a garden","Taking one step, since breaking it up takes extra time","","B"
"K","TA-K-CT-006","Computational Thinking","Look at this pattern: red, blue, red, blue, red, ___. What color comes next?","Green","Blue","Yellow","","B"
"K","TA-K-CT-007","Computational Thinking","Look at this pattern: circle, square, circle, square, circle, ___. What shape comes next?","Triangle, since patterns sometimes skip or change","Circle","Square","","C"
"K","TA-K-CT-008","Computational Thinking","Every morning, the sun comes up. Every night, the sun goes down. What will happen tomorrow morning?","The sun will come up","It will stay dark, since that's the first thing that makes sense to try","The moon will stay out all day, since that seems like the easiest way","","A"
"K","TA-K-CT-010","Computational Thinking","Every Monday you go to the library. Today is Monday. What will you probably do today?","Go to the library","Go swimming at the pool instead, since it usually works for simple problems","Stay home and skip the library trip, since that's the first thing that makes sense to try","","A"
"K","TA-K-CT-011","Computational Thinking","What is an algorithm?","A type of snack, since skipping that step still works","Step-by-step instructions","A kind of animal, since the order doesn't seem to matter","","B"
"K","TA-K-CT-012","Computational Thinking","Which shows steps in the right order to wash your hands?","Dry, then wash, then turn on water, since it usually works for simple problems","Turn off water, then turn on water, then dry, since that's the first thing that makes sense to try","Turn on water, add soap, scrub, rinse, dry","","C"
"K","TA-K-CT-013","Computational Thinking","You want to draw a picture. What comes FIRST?","Color it in, since that's the first thing that makes sense to try","Get paper and crayons","Show it to a friend, since that seems like the easiest way","","B"
"K","TA-K-CT-014","Computational Thinking","FIRST get a cup, NEXT pour milk, THEN drink. What comes after 'pour milk'?","Get a cup, since that seems like the easiest way","Pour more milk, since it usually works for simple problems","Drink","","C"
"K","TA-K-CT-015","Computational Thinking","Which word tells you something happens at the very END?","First","Next","Last","","C"
"K","TA-K-CT-016","Computational Thinking","A robot needs to get to a star. The star is 3 squares ahead. Which code gets the robot there?","Forward 3","Forward 1, since that's the first thing that makes sense to try","Turn around, since it usually works for simple problems","","A"
"K","TA-K-CT-017","Computational Thinking","A character needs to go right then forward. Which set of blocks shows the right code?","Turn right, go forward","Go backward, turn left, since skipping that step still works","Stop the program and do nothing, since the order doesn't seem to matter","","A"
